Container  Ship                      Tare    Gross    Cargo    % Cargo % of Total
Number     Name                      Weight  Weight   Weight   Weight  Cargo Wgt 

    101609 Napoli                       8385    58804    50419  85.74%      4.43%
    110167 Georgic                      8394    51067    42673  83.56%      3.75%
    144769 Carl D. Bradley              7702    69160    61458  88.86%      5.40%
    154640 W.H. Gilcher                 7432    52093    44661  85.73%      3.92%
    166336 Canadian Miner               8154    53127    44973  84.65%      3.95%
    228320 Calumet                      8268    42566    34298  80.58%      3.01%
    259076 Sabrina                      7389    57665    50276  87.19%      4.42%
    272124 Costa Marina                 8216    48293    40077  82.99%      3.52%
    293443 Gallic                       8294    44519    36225  81.37%      3.18%
    313818 McKay                        5148    61598    56450  91.64%      4.96%
    342817 Osaka Express                7015    48816    41801  85.63%      3.67%
    345120 Baie Comeau                  7928    59558    51630  86.69%      4.53%
    353071 Gudrun Mrsk                  7965    20312    12347  60.79%      1.08%
    357780 Guangzhou                    7821    49562    41741  84.22%      3.67%
    376662 Nuria                        7619    57902    50283  86.84%      4.42%
    438118 Vela                         7335    58025    50690  87.36%      4.45%
    569191 Burns Harbor                 7304    31962    24658  77.15%      2.17%
    569887 William C. Moreland          8089    55155    47066  85.33%      4.13%
    579241 SS Minnow                    7511    32289    24778  76.74%      2.18%
    603603 Robert S Pierson             7620    59019    51399  87.09%      4.51%
    603981 Pamela                       8022    96674    88652  91.70%      7.79%
    621580 Monterey                     7672    35540    27868  78.41%      2.45%
    688309 Empire MacMahon              7148    78880    71732  90.94%      6.30%
    732239 Mesabi Miner                 7906    52416    44510  84.92%      3.91%
    732723 Western Reserve              7457    55462    48005  86.55%      4.22%

           Total                      191794  1330464  1138670

